videoid,auto,sub,nsub,categories,duration,view_count,upload_date,channel_id,uploader_id,language
03EVlQsW_Js,True,True,2,Entertainment,117,848,20230408,UCOkPzSSXTyjDCfiALY-VWkA,@sunandarupil,id
03fofy4SObo,True,True,2,People & Blogs,1189,73,20220726,UCiUsr-55cQNVrnBoj3CQPkQ,@JumpaHamzah,id
03g504TWjVk,True,True,2,Howto & Style,705,451,20221106,UCEUzkTCWm_6vQL08aSg7N0w,@ImamMaskurkancil,id
03I0G3hI8k8,True,True,7,Pets & Animals,832,163575,20210202,UCf2h5JAK_XpWrOlpzwnYVWw,@Adehernawan91,id
03igjk8OOh8,True,True,4,People & Blogs,482,347,20220723,UCpTmPO1RL2aTGOCmLX8Hp_g,@zonacrypto,id
_03imlZozXk,True,True,3,Howto & Style,237,227,20220903,UCp0DaJHvGiVwafvM3U5x4Bg,@oesofficial,id
03k1M_upqBo,True,True,1,Science & Technology,774,35,20200910,UC6qmyuTSpWU8A_n03sO8bUg,@uuatermelon,id
03kjER-Rz50,True,True,4,Science & Technology,490,390,20230913,UCXkspV7Z5K-IdL8xayH3okQ,@Elektric_Hobby_maker,id
03LflbzTDXg,True,True,12,Entertainment,19,350,20231029,UCn53Z8lYnmfK2jnGx8S08ug,@MRidwanURL100,id
03LZBj4BW7o,True,True,1,Howto & Style,571,497,20211219,UCObNjlpOpT0OtNM9K7oimRw,@MegaAyu,id
__03m0ku93E,True,True,7,People & Blogs,134,551,20230201,UCPfRMV8DQu7c0J2v4CMbZyg,@GaleriLaban,id
-03nhwPrGmc,True,True,1,Entertainment,121,8044,20221018,UCDTItytYzMhW0I0EGCXvZag,@barusaja2,id
03qUfYETlO4,True,True,2,Pets & Animals,60,5,20230210,UCEv80cGSmzVyGoj3qcJ7weA,@ahmadamrizal5083,id
03rNnn3WCc8,True,True,7,People & Blogs,317,758,20210625,UC0-iQojxnlKCkDnHEHIea9Q,@bujangpalala10,id
03so_s3Wp4Y,True,True,2,People & Blogs,58,5,20231109,UCyXNl6cNsAfud5nn4lUUAkg,@makatananew,id
