videoid,auto,sub,nsub,categories,duration,view_count,upload_date,channel_id,uploader_id,language
-00Pbw8jiZI,True,True,1,News & Politics,49,114,20230826,UCHJKUb9mDJvf3G3a6SrcfOA,@GO-if7xg,ja
00PP_4SC6kM,True,True,16,Travel & Events,1172,2571,20230827,UCYSe5Mv1OAO79GXCnMdbMTg,@Nekotabi_travel,ja
00pT7lrKT6Y,True,True,1,Gaming,480,9880,20230205,UCw3Y8dxrRgp3g-M-6BGFuwA,@sakuraanne,ja
00RYasK6fU0,True,True,1,Entertainment,3397,26,20220530,UCTwwvpgyP7o7bBQo7INbXUQ,@audiobook_space,ja
00s9BliB3og,True,True,1,Education,378,502,20220502,UCfEaWkgRgZTa87rme4iid8w,@user-gk9ii8km6y,ja
00SWMJ_eaNM,True,True,1,People & Blogs,1062,44771,20171226,UC2EsZr3ofbBNiDqR0nquzrw,@user-ck4zn3mf8u,ja
00syxXbheMo,True,True,1,Entertainment,179,397,20230101,UC0OwfhawleGxoF6pa9I08ug,@HANYUTV,ja
00trq2_8huc,True,True,7,Entertainment,17,585,20230512,UCgCbFa6RblguaYDWNvJXaEg,@weathernewspbch,ja
00UfstMWxG4,True,True,1,Entertainment,298,188,20210212,UCghXNJsdcOlL0mxuqkXtnUA,@user-qv7bj1en1f,ja
00uHFHCndBU,True,True,1,Entertainment,890,6568,20201004,UCrFvBiUmX5HpG_HC8fhfXfw,@NYCreni,ja
00uPipC35Ds,True,True,1,Entertainment,1036,1839365,20161025,UCaminwG9MTO4sLYeC3s6udA,@hikaruYouTube,ja
00V_BhEtryQ,True,True,1,Howto & Style,605,4130,20220413,UCp_IdDma7eJYUwEgDzVDtow,@Bonsai_channel,ja
00Vf5kRVxgE,True,True,3,Entertainment,287,6719491,20170416,UCibEhpu5HP45-w7Bq1ZIulw,@Fischers,ja
00VHDSLPBHU,True,True,2,People & Blogs,309,1040,20190404,UCRwqTcUh7jMWqFjSYH3JHow,@sukiyara,ja
00vo2ebivMo,True,True,2,People & Blogs,339,58,20210130,UCz9HVKlvXmPnOI1O8P90sew,@user-zb5uc8rd3n,ja
00W9s0ot_7o,True,True,1,Gaming,433,7334,20221112,UCFI6CAWP0aYQF9J_xEFyhjQ,@yuukirabosi,ja
00WkBS1UqlY,True,True,1,Gaming,19,1117703,20221014,UCc-uLvFjHA1eygGMx5wof9Q,@ToriatamaCochin,ja
00xQCLGXG3k,True,True,1,People & Blogs,15,205,20230426,UC0rJ60kgayj-aWtzIpvkSRg,@user-jj8ed8tk2e,ja
00XtmnFAsao,True,True,1,Autos & Vehicles,323,111,20210712,UC2688DyNXcPRrUaLIJ49uhw,@JBNCars,ja
00xZh6SuPD0,True,True,1,Education,291,27,20210308,UCy4zZIiMW-xhCO6KqyciKFw,@user-sx2tu6dc1x,ja
