videoid,auto,sub,nsub,categories,duration,view_count,upload_date,channel_id,uploader_id,language
0cwpDgROUFE,False,True,1,Entertainment,1419,2030,20220325,UCkoVnTbzftGdIu7q_i5KCyw,@ghosttale,
0D148F1LyM8,False,True,1,Education,294,772,20230820,UC8gj5V4pdK3BSQSXwCsJ9iQ,@btcxiaolinzi,
0d3iZkXyEWA,False,True,1,Entertainment,231,12918,20220129,UC2lKPPSe7QVZoActPAgEdUA,@TTCOOLTime,
0d_4rEQFFtw,False,True,1,Pets & Animals,508,4796,20230221,UC26ncpDZB2BFCwAjZM7SqxQ,@ethangaoshiqing,
0D64inw7mOE,False,True,1,Entertainment,541,6652,20220904,UCb0GAh_lYKvqe4lyAiZyBlg,@user-fn7yj1im9p,
0DCkWds2nm4,False,True,1,News & Politics,1000,24699,20230509,UC6h4jewYerCnrOyb9GwXcug,@NewVision,
0DD3FPzYY3Y,False,True,1,People & Blogs,68,233,20230314,UC4isFl6ehe0kiLXRW269G7w,@OneMinuteMovieReviews_,
0DDW1FLiwlQ,False,True,1,People & Blogs,149,111,20210408,UCBw0Qy5hQJJ5Fw3xHA6mmhw,@Fincrew,
0dJy8FUYEzY,False,True,1,Education,386,9,20220318,UCqPNgroYFNwlEH_W20DRmAA,@user-wn8jz2jr2y,
0DMVVGys-PQ,False,True,1,People & Blogs,301,82,20230310,UCPiaqjkP5xQ8wt8zm6-ytaA,@baldinseattle,
0dRCMNceeow,False,True,1,Education,1232,50889,20220721,UCFFHAdMc4PybyfTFkkEYdfQ,@dailyreading,
0_e2ZyPBtOc,False,True,1,People & Blogs,725,91,20231006,UC8lOqivoCVxw1egipfdD_mg,@InvestmentPlayer,
0e4jchJGfFs,False,True,1,Howto & Style,512,3202,20200818,UCslGEqrrPyxSiwLi4bvkVpQ,@jandosi,
0e67KY3UGTA,False,True,1,Entertainment,367,14,20190223,UCAP-1XJkM5vjLU6sDPjxwEg,@wpaterson,
0ecb_k4A0NA,False,True,1,Science & Technology,4260,105,20230811,UCO6yXh53dL0VN-QabrMRp0Q,@jimmy_jinglv,
0eiO7sbjQZ8,False,True,1,Entertainment,947,17,20230622,UCAKQE1RY4dg5UwmMCk6zbkQ,@milomilo-333,
0EkV9jdwv4Q,False,True,1,Travel & Events,190,23,20221119,UCWhuwQjd9ycVR5toDcgJFxA,@mxgskhs,
0el26z5kMCs,False,True,1,Howto & Style,140,170,20221009,UCYXttNQVEVrYRAeyhdU56dg,@VIPSHOPPERS,
0Eq9f3Yc2wQ,False,True,1,Education,31776,1582,20231103,UChi_A1FIpTTnANBWgko3PoQ,@josephstorehouses,
0er8D_F4QlQ,False,True,1,Music,1034,318,20210404,UCLHSemdIeKej7Q-rkxIexmQ,@FM-eb3tj,
0-eRiYSBqVE,False,True,1,Education,38,3092,20230412,UCtRTNrm3Fdu1G5Psrg6xptA,@DengLaw,
0Ez5qHUxYuc,False,True,1,Autos & Vehicles,708,2098,20221215,UCWKRkVz9uZu--se2ONC4ZOg,@bluewhale7777,
0feaytFOXqY,False,True,1,Entertainment,680,3180,20230602,UCvA0LvaLdK0oPY5eP03LvQg,@user-Somi0219,
